front,back,hint,publishedAt
"aikoa","to intend","Minä aion mennä kouluun.","2026-02-05T14:00:58.826Z"
"Voisitko kertoa, miten","Could you tell me how","Voisitko kertoa, miten pääsen asemalle?","2026-02-05T06:19:46.076Z"
"Olen samaa mieltä, mutta minusta","I agree, but I think","Olen samaa mieltä, mutta minusta se on vaikeaa.","2026-02-05T06:19:34.717Z"
"Kerro itsestäsi","Tell (about) yourself","Kerro itsestäsi: perheestä ja asunnosta.","2026-02-05T06:19:24.928Z"
"tauko","to break / pause","Otetaan tauko ennen seuraavaa tuntia.","2026-01-29T14:53:50.519Z"
"luonnollisesti","naturally","Hän on luonnollisesti lahjakas soittamaan pianoa.","2026-01-11T19:04:11.638Z"
"tuolla","over there","Tuolla on kaunis puisto.","2026-02-01T06:28:07.961Z"
"tietty","certain","Minulla on tietty mielipide asiasta.","2026-01-11T19:04:15.408Z"
"voima","strength","Hengen voima on tärkeä osa ihmisen hyvinvointia.","2026-01-16T14:33:15.859Z"
"tahallaan","on purpose","Hän rikkoi säännöt tahallaan.","2026-01-11T19:03:59.736Z"
"kehittää","develop","Opettaja kehittää oppilaidensa taitoja.","2026-01-18T12:20:13.537Z"
"saatavuus","availability","Työvoiman saatavuus vaikuttaa yritysten kasvuun.","2026-01-22T10:40:22.316Z"
"selvä","clear","Selvä, ymmärrän nyt.","2025-04-03T06:17:06.592Z"
"kuulemma","It's said","Kuulemma sataa huomenna.","2025-11-30T15:01:34.838Z"
"Se ei käy","It is not possible","Anteeksi, mutta se ei käy tänään.","2025-11-30T15:02:11.712Z"
"rakennus","building","Tämä on komea rakennus.","2026-01-13T19:33:05.302Z"
"hius / hiukset","hair","Hänellä on kauniit kiharat hiukset.","2026-01-13T14:11:19.645Z"
"ruma","ugly","Hänellä on ruma paita.","2025-11-30T15:01:51.243Z"
"minäkin","me too","Minäkin tykkään tästä laulusta.","2025-11-30T15:00:00.447Z"
"kuulua hintaan","be included in the price","Hintaan kuuluu aamiainen.","2025-12-12T19:20:37.277Z"
"kaupunki","city","Helsinki on Suomen pääkaupunki.","2025-11-30T15:02:21.046Z"
"ihmiset","people","Ihmiset ovat ystävällisiä.","2025-12-15T05:56:34.391Z"
"huomiota","attention","Markkinointikampanja sai paljon huomiota sosiaalisessa mediassa.","2026-01-19T08:11:21.987Z"
"uskonto","religion","Uskonto on tärkeä osa monien ihmisten elämää.","2026-01-11T19:04:10.514Z"
"keltainen","yellow","Keltainen kukka kasvaa puutarhassa.","2025-12-09T11:00:03.637Z"
"läksy","homework","Minun täytyy tehdä läksyt ennen illallista.","2026-01-31T11:49:12.296Z"
"raha","money","Rahat ovat tärkeitä elämän monilla alueilla.","2024-11-27T21:24:38.047Z"
"yhteiskunta","society","Yhteiskunta tarvitsee muutosta.","2026-01-19T05:35:02.110Z"
"uusi","new","Minulla on uusi auto.","2025-11-30T15:01:41.892Z"
"nähdään","see you at","Hei, nähdään huomenna!","2024-10-22T18:56:43.812Z"
"yksitoista","eleven","Minulla on yksitoista omenaa.","2024-10-27T20:13:20.480Z"
"maanantaisin","on Mondays","Kurssi on maanantaisin.","2026-02-03T06:34:07.938Z"
"vähemmän","less","Minulla on vähemmän aikaa tänään.","2025-11-30T14:59:44.322Z"
"yleisesti","in general","Yleisesti ottaen pidän teestä enemmän kuin kahvista.","2026-01-11T19:04:22.705Z"
"upea","gorgeous","Upea maisema avautui meidän eteemme.","2025-12-12T19:20:14.780Z"
"Ensiksi käyn suihkussa","First I take a shower","Ensiksi käyn suihkussa ja puen sitten päälle.","2026-02-10T07:29:20.452Z"
"myöhästyminen / myöhästyä","delay","Hän myöhästyi koulusta tänään.","2026-01-25T15:00:59.772Z"
"sujua","go smoothly","Vesi sujuu nopeasti joessa.","2026-01-20T20:34:42.299Z"
"Eilen / viime viikolla","yesterday / last week","Eilen kävin kaupassa.","2026-02-05T06:19:20.156Z"
"melu","a noise","Rakennustyömaan melu oli erittäin kova.","2026-01-11T19:04:18.892Z"
"seitsemäntoista","Seventeen","Minä olen seitsemäntoista vuotta vanha.","2024-10-27T20:15:47.229Z"
"tehdä","do","Me teemme yhdessä projektin.","2025-12-12T19:18:27.781Z"
"kunnioittavaa","respectful","Hänen käytöksensä luokassa on aina kunnioittavaa ja tarkkaavaista.","2026-01-29T14:29:15.192Z"
"kylpyamme","bath tub","Meillä on uusi kylpyamme kylpyhuoneessa.","2025-12-12T19:20:02.127Z"
"kipea","sore","Minulla on kipeä pää tänään.","2026-01-18T18:45:00.932Z"
"kahdeksan","eight","Kello on kahdeksan aamulla.","2024-10-27T20:12:45.141Z"
"myöhemmin","later","Teemme sen myöhemmin.","2025-12-09T11:00:27.275Z"
"kunnes","until","Odota hississä, kunnes se tulee.","2026-01-13T19:32:14.419Z"
"kaiken","everything","Minä haluan tietää kaiken.","2026-01-24T09:20:31.540Z"
"kihloissa","Engaged","He ovat kihloissa.","2025-12-09T10:59:24.144Z"
"virallisesti","officially","Ensi kuussa vaalikampanja alkaa virallisesti.","2026-01-11T19:04:14.291Z"
"Odota, minä katson.","Wait, I'll check.","Odota, minä katson.","2026-02-18T12:45:21.157Z"
"vertailla","compare","Meidän täytyy vertailla näitä kahta tuotetta.","2026-01-18T16:24:42.564Z"
"syy","the reason","Syy, miksi hän on myöhässä, on liikenne.","2026-01-11T19:04:14.576Z"
"Mistä?","from where?","Mistä sinä tulet?","2026-02-18T12:45:14.137Z"
"lasku","bill; invoice","Lasku tulee postissa.","2026-02-18T12:45:24.887Z"
"Ketä sinä odotat?","Who are you waiting for?","Ketä sinä odotat?","2026-02-18T12:45:22.958Z"
"täytyy sitten kirjoittaa ja kysyä","then I have to write and ask","No, täytyy sitten kirjoittaa ja kysyä.","2026-02-18T12:45:28.365Z"
"Huomenta. Täällä on Pedro","Good morning. This is Pedro (speaking).","Huomenta. Täällä on Pedro.","2026-02-18T12:45:30.211Z"
"Onks se tunnin vuoro?","Is it a one-hour slot?","Onks se tunnin vuoro?","2026-02-18T12:45:39.186Z"
"Mä haluaisin varata saunavuoron","I'd like to book a sauna slot.","Mä haluaisin varata saunavuoron.","2026-02-18T12:45:31.834Z"
"Äiti odottaa Mikkoa.","Mother is waiting for Mikko.","Äiti odottaa Mikkoa.","2026-02-18T12:45:19.418Z"
"Lasku tulee postissa.","The bill comes by mail.","Lasku tulee postissa.","2026-02-18T12:45:37.423Z"
"Paljonko sen vuokra on?","How much is its rent?","Paljonko sen vuokra on?","2026-02-18T12:45:44.463Z"
"Mikä teidän asunnon numero on?","What's your apartment number?","Mikä teidän asunnon numero on?","2026-02-18T12:45:33.600Z"
"Paljonko vuokra on?","How much is the rent?","Paljonko vuokra on?","2026-02-18T12:45:42.703Z"
"lattia","floor","Mitä lattialla on? Lattialla on pehmeä matto.","2026-02-18T12:45:41.010Z"
"Miten se maksetaan?","How is it paid?","Miten se maksetaan?","2026-02-18T12:45:35.498Z"
"Mitä maksavat nämä kengät?","How much do these shoes cost?","Mitä maksavat nämä kengät?","2026-02-18T12:45:26.580Z"
"Nainen kantaa laatikot kadulta sisään taloon.","The woman carries the boxes from the street into the house.","Nainen kantaa laatikot kadulta sisään taloon.","2026-02-18T12:45:17.562Z"
